time_stamp_sec,position_x,position_y,heading_angle,velocity_x,velocity_y,omega,duty_cycle,delta,erpm
1704705401.7125173,0.8037706017494202,1.0473439693450928,4.780996505414144,-63.41705850464458,-52.216037741632526,0.0006077953140709563,0.0,0.0,0.0
1704705401.7288978,0.8049547672271729,1.0325783491134644,4.782025003427958,-62.74905570241695,-52.43490335255476,0.011361280167702053,0.0,0.0,0.0
1704705401.7458775,0.8063485622406006,1.0176849365234375,4.7824323813067835,-61.67066138446682,-52.29131124569007,0.013545460873261831,0.0,0.0,0.0
1704705401.762599,0.8074115514755249,1.0027735233306885,4.7814514875359295,-60.993841135825534,-52.49543953540688,0.0008503684006828816,0.0,0.0,0.0
1704705401.7790313,0.8084995746612549,0.9879481196403503,4.780039493237631,-60.03978988229531,-52.41637906771255,-0.01382426857003304,0.0,0.0,0.0
1704705401.7964385,0.8099607825279236,0.9731776118278503,4.77791919707725,-58.94822870299612,-52.17548853219041,-0.03286271643302137,0.0,0.0,0.0
1704705401.8129864,0.8116133809089661,0.9583246111869812,4.777468069389161,-58.09821832593032,-52.17192020296499,-0.03184601812117063,0.0,0.0,0.0
1704705401.8375819,0.8134875297546387,0.9362047910690308,4.776861572260356,-54.22577309583286,-49.25491677402992,-0.03058351780803587,0.0,0.0,0.0
1704705401.8626554,0.8148430585861206,0.9138414859771729,4.778123164171672,-50.77032543561677,-46.7595713932944,-0.016616777867023123,0.0,0.0,0.0
1704705401.8792286,0.8162603378295898,0.8990445733070374,4.777690196032023,-50.78069374949339,-47.76761469281838,-0.01825102035467315,0.0,0.0,0.0
1704705401.895783,0.8178863525390625,0.8841461539268494,4.776227617258525,-50.678671440635256,-48.6292144180176,-0.030369517425342392,0.0,0.0,0.0
1704705401.9123967,0.8193165063858032,0.8693890571594238,4.775109354649679,-50.418408661602044,-49.30408801386972,-0.03675738587467508,0.0,0.0,0.0
1704705401.928995,0.8209534287452698,0.8544309139251709,4.774537507687704,-50.05192225723224,-49.86488792213293,-0.03635811284793003,0.0,0.0,0.0
1704705401.9458845,0.8224289417266846,0.8393871188163757,4.774062935506002,-49.41918082959618,-50.1346477064955,-0.03490936240993499,0.0,0.0,0.0
1704705401.9625893,0.8235698342323303,0.8245957493782043,4.773407800987061,-49.07461501669904,-50.720754754563615,-0.03582323731257538,0.0,0.0,0.0
1704705401.9793594,0.8246656656265259,0.8095186352729797,4.773000144953227,-48.260155965725374,-50.77509390891485,-0.03375616127027853,0.0,0.0,0.0
1704705401.9960752,0.8262413740158081,0.7945587038993835,4.772499465937114,-47.60342506845202,-51.01608740416469,-0.03309685606237341,0.0,0.0,0.0
1704705402.0207179,0.8281185030937195,0.7721686363220215,4.772277339294251,-44.42118085030168,-48.30382520498296,-0.028933034638635027,0.0,0.0,0.0
1704705402.037617,0.8291112780570984,0.7572428584098816,4.772371355687277,-43.937228583414694,-48.847379566720946,-0.022979570398800133,0.0,0.0,0.0
1704705402.0543628,0.8300604224205017,0.742216944694519,4.772772614155905,-43.535137004428194,-49.4964354765679,-0.014837100337574932,0.0,0.0,0.0
1704705402.0707433,0.8309704661369324,0.7271678447723389,4.77237330277234,-43.15424178741283,-50.16614899433252,-0.01649057196046641,0.0,0.0,0.0
1704705402.087508,0.8319965600967407,0.7123326063156128,4.771451059971945,-42.51273304492343,-50.480689911900704,-0.023131544877105285,0.0,0.0,0.0
1704705402.1042025,0.833137035369873,0.697369396686554,4.7711757262495125,-41.90354956471253,-50.84073476808922,-0.022000957706902517,0.0,0.0,0.0
1704705402.1206172,0.8342337608337402,0.6822951436042786,4.77065092722048,-41.295868012793576,-51.20455916604362,-0.023701072793594603,0.0,0.0,0.0
1704705402.1376796,0.8351790904998779,0.6671563982963562,4.770630701377686,-40.403288511182716,-51.17949287264326,-0.019812406183987413,0.0,0.0,0.0
1704705402.1544957,0.8362256288528442,0.6521103978157043,4.770516141250428,-39.62414768582689,-51.32010540405849,-0.017569598303675882,0.0,0.0,0.0
1704705402.170733,0.8376541137695312,0.6370028257369995,4.770212634399232,-38.98414788756433,-51.674869771286446,-0.017739718042020607,0.0,0.0,0.0
1704705402.1875136,0.8390902280807495,0.6219445466995239,4.7696147998121345,-38.14662661127339,-51.736016461752655,-0.020827185919532858,0.0,0.0,0.0
1704705402.204666,0.8402219414710999,0.6070435047149658,4.76935043334434,-37.19982515225646,-51.627469001213775,-0.019901892444361406,0.0,0.0,0.0
1704705402.2210643,0.8412779569625854,0.5920660495758057,4.768899782493409,-36.49342675550166,-51.89812622696161,-0.0212050345373566,0.0,0.0,0.0
1704705402.2380483,0.8422385454177856,0.576869010925293,4.768098775540487,-35.55675140237074,-51.78950530036718,-0.025666311573575153,0.0,0.0,0.0
1704705402.2546914,0.843424916267395,0.5616613030433655,4.766427501037415,-34.81616326306269,-51.989300590855926,-0.03874778412452848,0.0,0.0,0.0
1704705402.2710273,0.844713032245636,0.5465611219406128,4.765001996352967,-34.0773004166427,-52.18602524659427,-0.04705017427973235,0.0,0.0,0.0
1704705402.2872875,0.8461315035820007,0.5314830541610718,4.763316376998719,-33.36077046422493,-52.41541238372516,-0.05678756548544543,0.0,0.0,0.0
1704705402.3038256,0.8475825786590576,0.5163631439208984,4.761960570012228,-32.5456154708338,-52.46917459340946,-0.06113623063765432,0.0,0.0,0.0
1704705402.320451,0.8490281105041504,0.5012255311012268,4.76049513021578,-31.690810784388333,-52.447159701408296,-0.06576645832886242,0.0,0.0,0.0
1704705402.3374147,0.8502296209335327,0.4861848056316376,4.759384338055746,-30.754283239194802,-52.266192118924636,-0.06571436621961839,0.0,0.0,0.0
